Scenario,DatasetLabel,Rep,Dataset,Model,Link,Log-Likelihood,AIC,BIC,nobs,n_params,success,nit,grad_norm_inf,cov_status,min_info_eig,info_rank,message,fit_elapsed_sec
D1,Dataset 1,7,D1,Poisson,identity,-98260.31984079684,196524.6396815937,196540.4466566988,20000,2,True,5,0.0001255814836007,not_computed,,0,Optimization terminated successfully,
D1,Dataset 1,7,D1,NB,identity,-46494.99826396565,92995.9965279313,93019.70699058892,20000,3,True,8,5.596514370798111e-05,not_computed,,0,Optimization terminated successfully,
D1,Dataset 1,7,D1,ZIP,identity,-70754.75282505428,141517.50565010856,141549.11960031872,20000,4,True,11,0.0001940957278465,not_computed,,0,Optimization terminated successfully,
D1,Dataset 1,7,D1,ZINB,identity,-45746.74454976103,91503.48909952206,91543.00653728476,20000,5,True,18,0.0006200045751638,not_computed,,0,Optimization terminated successfully,
D1,Dataset 1,7,D1,P+NB,identity,-45118.619803023794,90249.2396060476,90296.6605313628,20000,6,True,31,6.816433334311256e-05,not_computed,,0,Optimization terminated successfully,
D1,Dataset 1,7,D1,Z+P+NB,identity,-44581.18114320585,89178.3622864117,89241.59018683199,20000,8,True,22,0.0003901135572377,not_computed,,0,Optimization terminated successfully,
D1,Dataset 1,7,D1,ZIP--ZINB,identity,-44505.09805151734,89030.19610303469,89109.23097856005,20000,10,True,16,0.0001829382094133,not_computed,,0,Optimization terminated successfully,
D1,Dataset 1,0,D1,Poisson,identity,-96454.12875961247,192912.2575192249,192928.0644943301,20000,2,True,7,2.788241605133912e-05,not_computed,,0,Optimization terminated successfully,
D1,Dataset 1,0,D1,NB,identity,-46221.44201073835,92448.8840214767,92472.5944841343,20000,3,True,13,0.0002642622916025,not_computed,,0,Optimization terminated successfully,
D1,Dataset 1,0,D1,ZIP,identity,-69533.05900924621,139074.11801849242,139105.73196870257,20000,4,True,12,0.0008039357618117,not_computed,,0,Optimization terminated successfully,
D1,Dataset 1,0,D1,ZINB,identity,-45461.19430404533,90932.38860809068,90971.90604585336,20000,5,True,18,0.0003938562853034,not_computed,,0,Optimization terminated successfully,
D1,Dataset 1,0,D1,P+NB,identity,-44881.699676297,89775.399352594,89822.82027790922,20000,6,True,32,4.4166249026034166e-05,not_computed,,0,Optimization terminated successfully,
D1,Dataset 1,0,D1,Z+P+NB,identity,-44329.78726276416,88675.57452552831,88738.8024259486,20000,8,True,20,0.000363847092788,not_computed,,0,Optimization terminated successfully,
D1,Dataset 1,0,D1,ZIP--ZINB,identity,-44265.33089898291,88550.66179796582,88629.69667349118,20000,10,True,17,3.936875628735015e-05,not_computed,,0,Optimization terminated successfully,
D1,Dataset 1,4,D1,Poisson,identity,-99777.57003633716,199559.1400726744,199574.94704777945,20000,2,True,6,7.764605837223826e-05,not_computed,,0,Optimization terminated successfully,
D1,Dataset 1,4,D1,NB,identity,-47024.4649354604,94054.9298709208,94078.6403335784,20000,3,True,9,7.92418251691629e-05,not_computed,,0,Optimization terminated successfully,
D1,Dataset 1,4,D1,ZIP,identity,-72538.24003760351,145084.48007520702,145116.09402541717,20000,4,True,12,0.000106044249036,not_computed,,0,Optimization terminated successfully,
D1,Dataset 1,4,D1,ZINB,identity,-46351.06919357478,92712.13838714956,92751.65582491225,20000,5,True,16,0.0002197072247271,not_computed,,0,Optimization terminated successfully,
D1,Dataset 1,4,D1,P+NB,identity,-45659.3983935712,91330.7967871424,91378.2177124576,20000,6,True,16,8.310007074996406e-05,not_computed,,0,Optimization terminated successfully,
D1,Dataset 1,4,D1,Z+P+NB,identity,-45147.38365710888,90310.76731421777,90373.99521463804,20000,8,True,30,0.0001798297592596,not_computed,,0,Optimization terminated successfully,
D1,Dataset 1,4,D1,ZIP--ZINB,identity,-45076.69949353422,90173.39898706845,90252.4338625938,20000,10,True,37,0.0001854772089853,not_computed,,0,Optimization terminated successfully,
D1,Dataset 1,3,D1,Poisson,identity,-98966.95792697892,197937.91585395785,197953.7228290629,20000,2,True,8,8.392594729755842e-05,not_computed,,0,Optimization terminated successfully,
D1,Dataset 1,3,D1,NB,identity,-46322.20371548276,92650.40743096553,92674.11789362312,20000,3,True,9,8.239013851607524e-06,not_computed,,0,Optimization terminated successfully,
D1,Dataset 1,3,D1,ZIP,identity,-70808.36554500423,141624.73109000846,141656.3450402186,20000,4,True,12,0.0001254511688287,not_computed,,0,Optimization terminated successfully,
