Scenario,Dataset,Rep,RestrictedModel,FullModel,RestrictedLogLik,FullLogLik,LRT,df,boundary_dim,p_value,reject,method
D1,Dataset 1,7,Poisson,ZIP--ZINB,-98260.31984079684,-44505.09805151734,107510.44357855896,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,7,NB,ZIP--ZINB,-46494.99826396565,-44505.09805151734,3979.800424896617,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,7,P+NB,ZIP--ZINB,-45118.619803023794,-44505.09805151734,1227.043503012901,,2,9.2930971342542e-268,True,chi-bar² heuristic; k=2
D1,Dataset 1,7,ZIP,ZIP--ZINB,-70754.75282505428,-44505.09805151734,52499.30954707388,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,7,ZINB,ZIP--ZINB,-45746.74454976103,-44505.09805151734,2483.2929964873765,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,7,Z+P+NB,ZIP--ZINB,-44581.18114320585,-44505.09805151734,152.16618337701948,2.0,0,9.068451059364317e-34,True,chi²(df=2)
D1,Dataset 1,0,Poisson,ZIP--ZINB,-96454.12875961247,-44265.33089898291,104377.59572125916,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,0,NB,ZIP--ZINB,-46221.44201073835,-44265.33089898291,3912.2222235108784,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,0,P+NB,ZIP--ZINB,-44881.699676297,-44265.33089898291,1232.7375546281835,,2,5.3909987204420046e-269,True,chi-bar² heuristic; k=2
D1,Dataset 1,0,ZIP,ZIP--ZINB,-69533.05900924621,-44265.33089898291,50535.4562205266,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,0,ZINB,ZIP--ZINB,-45461.19430404533,-44265.33089898291,2391.7268101248483,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,0,Z+P+NB,ZIP--ZINB,-44329.78726276416,-44265.33089898291,128.91272756249236,2.0,0,1.0161478117567824e-28,True,chi²(df=2)
D1,Dataset 1,4,Poisson,ZIP--ZINB,-99777.57003633716,-45076.69949353422,109401.7410856059,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,4,NB,ZIP--ZINB,-47024.4649354604,-45076.69949353422,3895.530883852349,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,4,P+NB,ZIP--ZINB,-45659.3983935712,-45076.69949353422,1165.3978000739444,,2,2.2638482328698623e-254,True,chi-bar² heuristic; k=2
D1,Dataset 1,4,ZIP,ZIP--ZINB,-72538.24003760351,-45076.69949353422,54923.08108813857,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,4,ZINB,ZIP--ZINB,-46351.06919357478,-45076.69949353422,2548.739400081118,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,4,Z+P+NB,ZIP--ZINB,-45147.38365710888,-45076.69949353422,141.36832714932098,2.0,0,2.0056622553778163e-31,True,chi²(df=2)
D1,Dataset 1,3,Poisson,ZIP--ZINB,-98966.95792697892,-44352.2618408978,109229.39217216222,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,3,NB,ZIP--ZINB,-46322.20371548276,-44352.2618408978,3939.8837491699232,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,3,P+NB,ZIP--ZINB,-44974.30891407196,-44352.2618408978,1244.0941463483175,,2,1.8430218944442323e-271,True,chi-bar² heuristic; k=2
D1,Dataset 1,3,ZIP,ZIP--ZINB,-70808.36554500423,-44352.2618408978,52912.20740821285,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,3,ZINB,ZIP--ZINB,-45578.45588171332,-44352.2618408978,2452.388081631041,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,3,Z+P+NB,ZIP--ZINB,-44424.15085140137,-44352.2618408978,143.77802100713598,2.0,0,6.011729468195694e-32,True,chi²(df=2)
D1,Dataset 1,2,Poisson,ZIP--ZINB,-98548.57913035358,-44370.20530300637,108356.74765469442,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,2,NB,ZIP--ZINB,-46278.05642360437,-44370.20530300637,3815.702241196006,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,2,P+NB,ZIP--ZINB,-44985.70575431325,-44370.20530300637,1231.000902613756,,2,1.2846703579977916e-268,True,chi-bar² heuristic; k=2
D1,Dataset 1,2,ZIP,ZIP--ZINB,-70633.35422301057,-44370.20530300637,52526.2978400084,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,2,ZINB,ZIP--ZINB,-45530.419083173314,-44370.20530300637,2320.42756033389,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,2,Z+P+NB,ZIP--ZINB,-44411.74188178139,-44370.20530300637,83.07315755003947,2.0,0,9.138881390962534e-19,True,chi²(df=2)
D1,Dataset 1,1,Poisson,ZIP--ZINB,-99703.59722841918,-44775.71537250226,109855.76371183385,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,1,NB,ZIP--ZINB,-46682.02006983638,-44775.71537250226,3812.6093946682377,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,1,P+NB,ZIP--ZINB,-45386.44655193156,-44775.71537250226,1221.462358858611,,2,1.51402695173736e-266,True,chi-bar² heuristic; k=2
D1,Dataset 1,1,ZIP,ZIP--ZINB,-72042.57018444873,-44775.71537250226,54533.70962389295,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,1,ZINB,ZIP--ZINB,-45966.77548658132,-44775.71537250226,2382.120228158121,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,1,Z+P+NB,ZIP--ZINB,-44847.97083937643,-44775.71537250226,144.51093374834454,2.0,0,4.16724898234152e-32,True,chi²(df=2)
D1,Dataset 1,5,Poisson,ZIP--ZINB,-100174.49335661138,-44289.75527645245,111769.47616031783,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,5,NB,ZIP--ZINB,-46317.82912157929,-44289.75527645245,4056.1476902536815,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,5,P+NB,ZIP--ZINB,-44929.79442743042,-44289.75527645245,1280.0783019559312,,2,2.8275144224741004e-279,True,chi-bar² heuristic; k=2
D1,Dataset 1,5,ZIP,ZIP--ZINB,-71710.74867484166,-44289.75527645245,54841.98679677841,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,5,ZINB,ZIP--ZINB,-45549.69716019921,-44289.75527645245,2519.8837674935203,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,5,Z+P+NB,ZIP--ZINB,-44350.74864599287,-44289.75527645245,121.98673908083585,2.0,0,3.242770219201653e-27,True,chi²(df=2)
D1,Dataset 1,6,Poisson,ZIP--ZINB,-100545.0065191003,-44968.4330229252,111153.1469923502,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,6,NB,ZIP--ZINB,-46892.81839118681,-44968.4330229252,3848.7707365232345,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,6,P+NB,ZIP--ZINB,-45568.03832097504,-44968.4330229252,1199.210596099685,,2,1.0285304772160959e-261,True,chi-bar² heuristic; k=2
D1,Dataset 1,6,ZIP,ZIP--ZINB,-72287.38698340478,-44968.4330229252,54637.90792095917,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,6,ZINB,ZIP--ZINB,-46166.03718335497,-44968.4330229252,2395.2083208595577,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,6,Z+P+NB,ZIP--ZINB,-45031.36059776198,-44968.4330229252,125.85514967357447,2.0,0,4.687070531001009e-28,True,chi²(df=2)
D1,Dataset 1,8,Poisson,ZIP--ZINB,-100823.23543659376,-44988.54599386036,111669.3788854668,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,8,NB,ZIP--ZINB,-46951.047304350126,-44988.54599386036,3925.002620979533,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,8,P+NB,ZIP--ZINB,-45594.56148273834,-44988.54599386036,1212.0309777559596,,2,1.691240797746854e-264,True,chi-bar² heuristic; k=2
D1,Dataset 1,8,ZIP,ZIP--ZINB,-72358.21859753379,-44988.54599386036,54739.34520734687,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,8,ZINB,ZIP--ZINB,-46214.33791506361,-44988.54599386036,2451.5838424065005,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,8,Z+P+NB,ZIP--ZINB,-45060.14107715403,-44988.54599386036,143.19016658734472,2.0,0,8.065854697851388e-32,True,chi²(df=2)
D1,Dataset 1,11,Poisson,ZIP--ZINB,-97045.55338575089,-44571.93321148969,104947.2403485224,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,11,NB,ZIP--ZINB,-46577.039551163456,-44571.93321148969,4010.2126793475327,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,11,P+NB,ZIP--ZINB,-45148.609660103146,-44571.93321148969,1153.3528972269123,,2,9.342550839793929e-252,True,chi-bar² heuristic; k=2
D1,Dataset 1,11,ZIP,ZIP--ZINB,-70153.56378011056,-44571.93321148969,51163.26113724175,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,11,ZINB,ZIP--ZINB,-45850.39637395102,-44571.93321148969,2556.926324922664,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,11,Z+P+NB,ZIP--ZINB,-44633.20257690667,-44571.93321148969,122.53873083395592,2.0,0,2.4606661202057573e-27,True,chi²(df=2)
D1,Dataset 1,9,Poisson,ZIP--ZINB,-99586.7852984934,-44569.08395014123,110035.40269670432,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,9,NB,ZIP--ZINB,-46518.838580788346,-44569.08395014123,3899.509261294239,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,9,P+NB,ZIP--ZINB,-45192.8784287686,-44569.08395014123,1247.5889572547458,,2,3.2108178051963756e-272,True,chi-bar² heuristic; k=2
D1,Dataset 1,9,ZIP,ZIP--ZINB,-71444.0709873222,-44569.08395014123,53749.97407436193,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,9,ZINB,ZIP--ZINB,-45779.75522186211,-44569.08395014123,2421.342543441773,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,9,Z+P+NB,ZIP--ZINB,-44638.09766385026,-44569.08395014123,138.02742741807015,2.0,0,1.0659208578134465e-30,True,chi²(df=2)
D1,Dataset 1,14,Poisson,ZIP--ZINB,-95707.98335551051,-43888.1654751204,103639.63576078022,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,14,NB,ZIP--ZINB,-45952.75300592077,-43888.1654751204,4129.175061600719,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,14,P+NB,ZIP--ZINB,-44594.0830342758,-43888.1654751204,1411.835118310788,,2,6.916562063652322e-308,True,chi-bar² heuristic; k=2
D1,Dataset 1,14,ZIP,ZIP--ZINB,-68341.60361390302,-43888.1654751204,48906.87627756523,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,14,ZINB,ZIP--ZINB,-45116.79997285378,-43888.1654751204,2457.2689954667585,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,14,Z+P+NB,ZIP--ZINB,-43964.28451465542,-43888.1654751204,152.2380790700263,2.0,0,8.748249531247365e-34,True,chi²(df=2)
D1,Dataset 1,10,Poisson,ZIP--ZINB,-95916.87507710209,-44290.171762293,103253.40662961814,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,10,NB,ZIP--ZINB,-46280.54218753637,-44290.171762293,3980.7408504867344,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,10,P+NB,ZIP--ZINB,-44879.93792334636,-44290.171762293,1179.5323221067229,,2,1.929561257777036e-257,True,chi-bar² heuristic; k=2
D1,Dataset 1,10,ZIP,ZIP--ZINB,-69689.07015033944,-44290.171762293,50797.79677609287,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,10,ZINB,ZIP--ZINB,-45552.27010331585,-44290.171762293,2524.196682045702,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,10,Z+P+NB,ZIP--ZINB,-44352.9818692328,-44290.171762293,125.62021387959248,2.0,0,5.271292897387794e-28,True,chi²(df=2)
D1,Dataset 1,12,Poisson,ZIP--ZINB,-99720.11058706316,-44710.415420043,110019.39033404032,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,12,NB,ZIP--ZINB,-46767.43376722405,-44710.415420043,4114.036694362105,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,12,P+NB,ZIP--ZINB,-45360.02769272868,-44710.415420043,1299.224545371355,,2,1.9665910051104747e-283,True,chi-bar² heuristic; k=2
D1,Dataset 1,12,ZIP,ZIP--ZINB,-71594.76534888809,-44710.415420043,53768.69985769018,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,12,ZINB,ZIP--ZINB,-46003.343750329725,-44710.415420043,2585.856660573452,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,12,Z+P+NB,ZIP--ZINB,-44791.077178228006,-44710.415420043,161.32351637001557,2.0,0,9.312011842904616e-36,True,chi²(df=2)
D1,Dataset 1,13,Poisson,ZIP--ZINB,-100779.04027354407,-44635.97305944033,112286.13442820752,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,13,NB,ZIP--ZINB,-46582.68992710481,-44635.97305944033,3893.4337353289593,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,13,P+NB,ZIP--ZINB,-45208.79417825848,-44635.97305944033,1145.6422376363043,,2,4.414476754714167e-250,True,chi-bar² heuristic; k=2
D1,Dataset 1,13,ZIP,ZIP--ZINB,-72690.83504661807,-44635.97305944033,56109.72397435548,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,13,ZINB,ZIP--ZINB,-45880.06356428562,-44635.97305944033,2488.181009690583,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,13,Z+P+NB,ZIP--ZINB,-44694.83510139297,-44635.97305944033,117.7240839052829,2.0,0,2.732373007650453e-26,True,chi²(df=2)
D1,Dataset 1,15,Poisson,ZIP--ZINB,-97430.03174522571,-44482.360228769714,105895.343032912,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,15,NB,ZIP--ZINB,-46424.39590131583,-44482.360228769714,3884.071345092234,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,15,P+NB,ZIP--ZINB,-45061.00602121888,-44482.360228769714,1157.2915848983394,,2,1.3036385565805934e-252,True,chi-bar² heuristic; k=2
D1,Dataset 1,15,ZIP,ZIP--ZINB,-70402.92484632738,-44482.360228769714,51841.12923511534,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,15,ZINB,ZIP--ZINB,-45720.21348128558,-44482.360228769714,2475.7065050317324,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,15,Z+P+NB,ZIP--ZINB,-44557.990506810325,-44482.360228769714,151.2605560812226,2.0,0,1.4262234805512908e-33,True,chi²(df=2)
D1,Dataset 1,19,Poisson,ZIP--ZINB,-98436.0094584139,-44338.89328110627,108194.23235461526,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,19,NB,ZIP--ZINB,-46340.51045396707,-44338.89328110627,4003.2343457216048,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,19,P+NB,ZIP--ZINB,-44962.71728233735,-44338.89328110627,1247.648002462156,,2,3.1174085025805126e-272,True,chi-bar² heuristic; k=2
D1,Dataset 1,19,ZIP,ZIP--ZINB,-70557.42005119036,-44338.89328110627,52437.053540168185,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,19,ZINB,ZIP--ZINB,-45561.630638011,-44338.89328110627,2445.474713809468,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,19,Z+P+NB,ZIP--ZINB,-44382.13364152131,-44338.89328110627,86.48072083007719,2.0,0,1.6632214459157452e-19,True,chi²(df=2)
D1,Dataset 1,17,Poisson,ZIP--ZINB,-97116.57586043174,-44471.11378947631,105290.92414191086,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,17,NB,ZIP--ZINB,-46508.35784353214,-44471.11378947631,4074.488108111662,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,17,P+NB,ZIP--ZINB,-45057.39299537701,-44471.11378947631,1172.5584118014085,,2,6.307845738917238e-256,True,chi-bar² heuristic; k=2
D1,Dataset 1,17,ZIP,ZIP--ZINB,-70488.64801507659,-44471.11378947631,52035.06845120056,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,17,ZINB,ZIP--ZINB,-45790.28366442482,-44471.11378947631,2638.33974989703,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,17,Z+P+NB,ZIP--ZINB,-44533.75989554061,-44471.11378947631,125.29221212861012,2.0,0,6.2107181881755245e-28,True,chi²(df=2)
D1,Dataset 1,18,Poisson,ZIP--ZINB,-99411.18247168224,-44613.76061290424,109594.84371755598,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,18,NB,ZIP--ZINB,-46683.648969878064,-44613.76061290424,4139.776713947649,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,18,P+NB,ZIP--ZINB,-45281.66260592602,-44613.76061290424,1335.8039860435674,,2,2.2404542524649648e-291,True,chi-bar² heuristic; k=2
D1,Dataset 1,18,ZIP,ZIP--ZINB,-71471.08686076784,-44613.76061290424,53714.652495727205,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,18,ZINB,ZIP--ZINB,-45878.46924780293,-44613.76061290424,2529.4172697973845,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,18,Z+P+NB,ZIP--ZINB,-44698.12577703547,-44613.76061290424,168.73032826246344,2.0,0,2.294429685425572e-37,True,chi²(df=2)
D1,Dataset 1,16,Poisson,ZIP--ZINB,-98389.45035422826,-45010.70986909395,106757.48097026862,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,16,NB,ZIP--ZINB,-46969.28499022002,-45010.70986909395,3917.15024225213,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,16,P+NB,ZIP--ZINB,-45589.93233481252,-45010.70986909395,1158.4449314371304,,2,7.32321042473333e-253,True,chi-bar² heuristic; k=2
D1,Dataset 1,16,ZIP,ZIP--ZINB,-71908.57925699085,-45010.70986909395,53795.7387757938,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,16,ZINB,ZIP--ZINB,-46277.95628337546,-45010.70986909395,2534.492828563016,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,16,Z+P+NB,ZIP--ZINB,-45075.47723203966,-45010.70986909395,129.53472589141165,2.0,0,7.445462237066072e-29,True,chi²(df=2)
D1,Dataset 1,20,Poisson,ZIP--ZINB,-97698.19016496625,-44493.00691556478,106410.36649880292,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,20,NB,ZIP--ZINB,-46486.30465777333,-44493.00691556478,3986.5954844171065,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,20,P+NB,ZIP--ZINB,-45117.081979477625,-44493.00691556478,1248.150127825691,,2,2.4252404928391463e-272,True,chi-bar² heuristic; k=2
D1,Dataset 1,20,ZIP,ZIP--ZINB,-70598.09958526841,-44493.00691556478,52210.18533940727,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,20,ZINB,ZIP--ZINB,-45744.05208076742,-44493.00691556478,2502.090330405277,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,20,Z+P+NB,ZIP--ZINB,-44580.23310059888,-44493.00691556478,174.4523700682039,2.0,0,1.312650662893648e-38,True,chi²(df=2)
D1,Dataset 1,21,Poisson,ZIP--ZINB,-95494.43755644464,-44531.51283064207,101925.84945160514,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,21,NB,ZIP--ZINB,-46503.204998182686,-44531.51283064207,3943.384335081239,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,21,P+NB,ZIP--ZINB,-45135.42720428336,-44531.51283064207,1207.8287472825905,,2,1.3827421469232051e-263,True,chi-bar² heuristic; k=2
D1,Dataset 1,21,ZIP,ZIP--ZINB,-68868.59395774934,-44531.51283064207,48674.16225421455,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,21,ZINB,ZIP--ZINB,-45746.26791925701,-44531.51283064207,2429.5101772298804,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,21,Z+P+NB,ZIP--ZINB,-44607.52353509667,-44531.51283064207,152.02140890920418,2.0,0,9.749233896410473e-34,True,chi²(df=2)
D1,Dataset 1,22,Poisson,ZIP--ZINB,-97338.9598319294,-44341.8784094528,105994.1628449532,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,22,NB,ZIP--ZINB,-46255.84327520096,-44341.8784094528,3827.929731496304,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,22,P+NB,ZIP--ZINB,-44932.55230624529,-44341.8784094528,1181.3477935849803,,2,7.784292783085969e-258,True,chi-bar² heuristic; k=2
